x,y,val
107.38333333333253,-6.687499999999739,1.0
107.3874999999992,-6.687499999999739,1.1
107.39166666666587,-6.687499999999739,1.4
107.39583333333253,-6.687499999999739,1.9
107.3999999999992,-6.687499999999739,2.1
107.40416666666587,-6.687499999999739,1.3
107.40833333333254,-6.687499999999739,1.2
107.4124999999992,-6.687499999999739,1.3
107.41666666666586,-6.687499999999739,1.7
107.42083333333254,-6.687499999999739,1.8
107.4249999999992,-6.687499999999739,2.5
107.42916666666586,-6.687499999999739,3.5
107.43333333333253,-6.687499999999739,4.8
107.4374999999992,-6.687499999999739,4.2
107.44166666666587,-6.687499999999739,3.0
107.44583333333253,-6.687499999999739,2.9
107.4499999999992,-6.687499999999739,2.4
107.45416666666587,-6.687499999999739,1.8
107.45833333333253,-6.687499999999739,1.9
107.4624999999992,-6.687499999999739,2.1
107.46666666666587,-6.687499999999739,1.9
107.47083333333254,-6.687499999999739,1.3
107.4749999999992,-6.687499999999739,0.9
107.47916666666586,-6.687499999999739,0.9
107.48333333333254,-6.687499999999739,0.9
107.4874999999992,-6.687499999999739,1.4
107.49166666666586,-6.687499999999739,2.1
107.49583333333253,-6.687499999999739,1.9
107.4999999999992,-6.687499999999739,1.0
107.50416666666587,-6.687499999999739,0.9
107.50833333333253,-6.687499999999739,1.2
107.5124999999992,-6.687499999999739,1.4
107.51666666666587,-6.687499999999739,1.6
107.52083333333253,-6.687499999999739,1.3
107.5249999999992,-6.687499999999739,1.7
107.52916666666587,-6.687499999999739,2.3
107.53333333333254,-6.687499999999739,2.3
107.5374999999992,-6.687499999999739,2.3
107.54166666666586,-6.687499999999739,2.6
107.54583333333254,-6.687499999999739,2.5
107.5499999999992,-6.687499999999739,2.5
107.55416666666586,-6.687499999999739,2.4
107.55833333333253,-6.687499999999739,1.9
107.5624999999992,-6.687499999999739,1.6
107.56666666666587,-6.687499999999739,1.3
107.57083333333253,-6.687499999999739,1.3
107.57499999999919,-6.687499999999739,1.4
107.57916666666587,-6.687499999999739,1.3
107.58333333333253,-6.687499999999739,1.8
107.5874999999992,-6.687499999999739,1.7
107.59166666666587,-6.687499999999739,1.7
107.59583333333254,-6.687499999999739,1.6
107.5999999999992,-6.687499999999739,1.5
107.60416666666586,-6.687499999999739,1.0
107.60833333333254,-6.687499999999739,0.9
107.6124999999992,-6.687499999999739,0.9
107.61666666666586,-6.687499999999739,1.1
107.62083333333253,-6.687499999999739,1.0
107.6249999999992,-6.687499999999739,1.2
107.62916666666587,-6.687499999999739,1.2
107.63333333333253,-6.687499999999739,1.2
107.63749999999919,-6.687499999999739,1.1
107.64166666666587,-6.687499999999739,1.1
107.64583333333253,-6.687499999999739,1.7
107.6499999999992,-6.687499999999739,1.4
107.65416666666587,-6.687499999999739,1.4
107.65833333333254,-6.687499999999739,1.8
107.6624999999992,-6.687499999999739,2.4
107.66666666666586,-6.687499999999739,3.5
107.67083333333254,-6.687499999999739,3.8
107.6749999999992,-6.687499999999739,2.6
107.67916666666586,-6.687499999999739,1.4
107.68333333333253,-6.687499999999739,1.2
107.6874999999992,-6.687499999999739,1.0
107.69166666666587,-6.687499999999739,0.8
107.69583333333253,-6.687499999999739,0.8
107.69999999999919,-6.687499999999739,1.0
107.70416666666587,-6.687499999999739,1.7
107.70833333333253,-6.687499999999739,1.9
107.7124999999992,-6.687499999999739,1.4
107.71666666666587,-6.687499999999739,1.2
107.72083333333254,-6.687499999999739,1.1
107.7249999999992,-6.687499999999739,1.5
107.72916666666586,-6.687499999999739,1.4
107.73333333333254,-6.687499999999739,3.1
107.7374999999992,-6.687499999999739,2.5
